Study_Hours,Attendance,Previous_Score,Result
2,45,35,Fail
4,60,50,Fail
6,80,70,Pass
8,90,85,Pass
1,30,25,Fail
5,75,65,Pass
7,85,78,Pass
3,50,40,Fail
9,95,90,Pass
2,40,30,Fail
6,82,72,Pass
4,55,48,Fail
7,88,80,Pass
1,25,20,Fail
5,70,60,Pass
3,52,42,Fail
8,92,87,Pass
2,35,28,Fail
6,78,68,Pass
4,58,50,Fail
10,96,92,Pass
3,48,38,Fail
5,68,58,Pass
7,84,76,Pass
2,42,32,Fail
9,91,86,Pass
4,62,55,Fail
6,74,66,Pass
1,28,22,Fail
8,89,82,Pass
5,72,61,Pass
3,46,36,Fail
7,87,79,Pass
2,38,29,Fail
6,81,73,Pass
4,57,49,Fail
9,94,88,Pass
1,32,24,Fail
5,69,59,Pass
8,93,84,Pass
3,54,44,Fail
7,86,77,Pass
2,41,31,Fail
6,79,69,Pass
10,98,95,Pass
4,59,52,Fail
5,73,63,Pass
1,27,21,Fail
8,90,83,Pass
3,51,41,Fail
